strategy	dataset_count	policy	transcripts	oracle_pcc	oracle_rmse
family_complete	3	equal	128	0.7555298435141217	0.46778822739201786
family_complete	3	quality_rank	128	0.7555298435141217	0.46778822739201786
family_complete	6	equal	128	0.7977349385286274	0.39112020843814427
family_complete	6	quality_rank	128	0.7977349385286274	0.3911202084381443
family_complete	9	equal	128	0.89396382270195	0.2568512216536174
family_complete	9	quality_rank	128	0.89396382270195	0.2568512216536174
family_complete	12	equal	128	0.9240982219807375	0.20970408490301876
family_complete	12	quality_rank	128	0.9240982219807375	0.20970408490301876
family_complete	15	equal	128	0.9400839102199682	0.18481494458287534
family_complete	15	quality_rank	128	0.9400839102199682	0.18481494458287534
family_complete	18	equal	128	0.9479366974595537	0.1718368662194817
family_complete	18	quality_rank	128	0.9479366974595536	0.1718368662194817
family_complete	21	equal	128	0.9573250417020415	0.15437136928651465
family_complete	21	quality_rank	128	0.9573250417020415	0.15437136928651465
family_complete	24	equal	128	0.9633418774109328	0.14177578688616063
family_complete	24	quality_rank	128	0.9633418774109328	0.14177578688616063
family_complete	27	equal	128	0.9646586537508823	0.14136518657680988
family_complete	27	quality_rank	128	0.9646586537508823	0.14136518657680988
family_complete	30	equal	128	0.968740032249058	0.13251014652524437
family_complete	30	quality_rank	128	0.968740032249058	0.13251014652524437
latin0	3	equal	128	0.89396382270195	0.25685122165361735
latin0	3	quality_rank	128	0.8651460601196204	0.2975089825930735
latin0	6	equal	128	0.9479366974595537	0.1718368662194817
latin0	6	quality_rank	128	0.9325146487883353	0.19978216611028596
latin0	9	equal	128	0.9646586537508823	0.14136518657680988
latin0	9	quality_rank	128	0.9524047981316281	0.16890491429515972
latin0	12	equal	128	0.9636068207973881	0.14375066318157775
latin0	12	quality_rank	128	0.949275639140075	0.17408020195520776
latin0	15	equal	128	0.9668395116172908	0.13560480553427376
latin0	15	quality_rank	128	0.9592231739525767	0.15292145232777937
latin0	18	equal	128	0.9682706348108826	0.13235366594957426
latin0	18	quality_rank	128	0.9630011434981938	0.1442510742329135
latin0	21	equal	128	0.9701761946182039	0.12913627927534596
latin0	21	quality_rank	128	0.9679615563862909	0.13407969504244796
latin0	24	equal	128	0.9676411367200315	0.1343235330836508
latin0	24	quality_rank	128	0.9670837989893499	0.1352503977107148
latin0	27	equal	128	0.9686853362187308	0.13217752955491047
latin0	27	quality_rank	128	0.9683647624359318	0.13269848272178822
latin0	30	equal	128	0.968740032249058	0.13251014652524437
latin0	30	quality_rank	128	0.968740032249058	0.13251014652524437
latin1	3	equal	128	0.89396382270195	0.25685122165361735
latin1	3	quality_rank	128	0.8150857066249371	0.3693773807196348
latin1	6	equal	128	0.9479366974595537	0.1718368662194817
latin1	6	quality_rank	128	0.929081366817837	0.20443129172727814
latin1	9	equal	128	0.9646586537508823	0.14136518657680988
latin1	9	quality_rank	128	0.9553666873348525	0.158300852523165
latin1	12	equal	128	0.9636068207973881	0.14375066318157775
latin1	12	quality_rank	128	0.96054497773828	0.14861151171108244
latin1	15	equal	128	0.9668395116172908	0.13560480553427376
latin1	15	quality_rank	128	0.9632690926210372	0.14211181337211226
latin1	18	equal	128	0.9682706348108826	0.13235366594957426
latin1	18	quality_rank	128	0.9664565127540405	0.13559708246678018
latin1	21	equal	128	0.9701761946182039	0.12913627927534596
latin1	21	quality_rank	128	0.9691917733276737	0.13080334387885653
latin1	24	equal	128	0.9676411367200315	0.1343235330836508
latin1	24	quality_rank	128	0.9679908645477356	0.13317536705556912
latin1	27	equal	128	0.9686853362187308	0.13217752955491047
latin1	27	quality_rank	128	0.9691183791950233	0.13089239128347938
latin1	30	equal	128	0.968740032249058	0.13251014652524437
latin1	30	quality_rank	128	0.968740032249058	0.13251014652524437
latin2	3	equal	128	0.89396382270195	0.25685122165361735
latin2	3	quality_rank	128	0.9109092182838073	0.23075577642222367
latin2	6	equal	128	0.9479366974595537	0.1718368662194817
latin2	6	quality_rank	128	0.9413794479080115	0.18195288780824734
latin2	9	equal	128	0.9646586537508823	0.14136518657680988
latin2	9	quality_rank	128	0.9594580201621645	0.15104845152347698
latin2	12	equal	128	0.9636068207973881	0.14375066318157775
latin2	12	quality_rank	128	0.9650369353637759	0.1404807648220691
latin2	15	equal	128	0.9668395116172908	0.13560480553427376
latin2	15	quality_rank	128	0.9680039437024883	0.13313576420481188
latin2	18	equal	128	0.9682706348108826	0.13235366594957426
latin2	18	quality_rank	128	0.9684611553026838	0.1321574093953971
latin2	21	equal	128	0.9701761946182039	0.12913627927534596
latin2	21	quality_rank	128	0.9684507724818707	0.13381101361795675
latin2	24	equal	128	0.9676411367200315	0.1343235330836508
latin2	24	quality_rank	128	0.965634452742718	0.13950762162832026
latin2	27	equal	128	0.9686853362187308	0.13217752955491047
latin2	27	quality_rank	128	0.9677432868252057	0.13483345775458083
latin2	30	equal	128	0.968740032249058	0.13251014652524437
latin2	30	quality_rank	128	0.968740032249058	0.13251014652524437
